# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
2.300000000000000266e+00,-9.730958575770765062e-01,1.118557818265080162e+00,-2.227843935983379264e+00,5.438347906836425993e-01,-1.066317764916900002e+00,-9.994140319197366562e-01,-3.523156270967039982e-01,2.097980756051635309e-01,1.033828024420646585e+00,-1.118557818265080162e+00,1.230194364016556907e-02,-3.398967441772766246e-02
2.350000000000000089e+00,-1.025097817506401832e+00,1.067210029186266507e+00,-2.245432716131855688e+00,5.542819347516496631e-01,-1.013333786984487173e+00,-1.054069615160331042e+00,-3.510021511151639739e-01,2.080822458800798413e-01,1.085047269554370697e+00,-1.067210029186266507e+00,4.031163157363970573e-02,-3.464262092197810394e-02
2.400000000000000355e+00,-1.074387777483670758e+00,1.013194770826725932e+00,-2.262920634342526327e+00,5.646424733950354824e-01,-9.578624933912455175e-01,-1.106090573311868663e+00,-3.482778358561186005e-01,2.063339037274195542e-01,1.133299466880057782e+00,-1.013194770826725932e+00,6.871892932085188477e-02,-3.529015458718971765e-02
2.450000000000000178e+00,-1.120845132617659612e+00,9.566470532017554707e-01,-2.280236693328511866e+00,5.749147878007152546e-01,-9.000553438032542486e-01,-1.155346881070961063e+00,-3.441253066062013310e-01,2.045533223220871166e-01,1.178461742612723295e+00,-9.566470532017554707e-01,9.742325763457582166e-02,-3.593217423754470341e-02
2.500000000000000000e+00,-1.164357001016401938e+00,8.977082161559348794e-01,-2.297309153626692080e+00,5.850972729404622097e-01,-8.400697263425205286e-01,-1.201715423320400600e+00,-3.385322670339335760e-01,2.027407798763044833e-01,1.220419884413024736e+00,-8.977082161559348794e-01,1.263221168219211543e-01,-3.656857955877888811e-02
2.550000000000000266e+00,-1.204818509255502823e+00,8.365255760871249668e-01,-2.314065789775728188e+00,5.951883378216894505e-01,-7.780685169066787754e-01,-1.245080302852833665e+00,-3.314915866987556692e-01,2.008965595961411665e-01,1.259068641502699037e+00,-8.365255760871249668e-01,1.553114284966352621e-01,-3.719927111385559065e-02
2.600000000000000089e+00,-1.242133055447890877e+00,7.732520577321961852e-01,-2.330434150439404828e+00,6.051864057360395455e-01,-7.142196241203438989e-01,-1.285333130053420980e+00,-3.230013712983266783e-01,1.990209496372639664e-01,1.294311999153077375e+00,-7.732520577321961852e-01,1.842858841109418222e-01,-3.782415035850247159e-02
2.650000000000000355e+00,-1.276212549228944892e+00,7.080458119348234103e-01,-2.346341821604199129e+00,6.150899145057420192e-01,-6.486955212183108666e-01,-1.322373293817429296e+00,-3.130650153430799554e-01,1.971142430599129580e-01,1.326063426805271339e+00,-7.080458119348234103e-01,2.131392991444948370e-01,-3.844311965660887620e-02
2.700000000000000178e+00,-1.306977628036820605e+00,6.410698203507446680e-01,-2.361716691965839665e+00,6.248973167276998808e-01,-5.816727661959736340e-01,-1.356108213025591702e+00,-3.016912370036870517e-01,1.951767377831117034e-01,1.354246099157189853e+00,-6.410698203507446680e-01,2.417649718069864173e-01,-3.905608229548124255e-02
2.750000000000000000e+00,-1.334357849135398677e+00,5.724914880784974791e-01,-2.376487219608342194e+00,6.346070800152693314e-01,-5.133315115935976891e-01,-1.386453567948695342e+00,-2.888940949347028608e-01,1.932087365381178756e-01,1.378793089630985236e+00,-5.724914880784974791e-01,2.700560450935391432e-01,-3.966294250095433321e-02
