# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid
1.050000000000000044e+00,5.613188202517477299e-01,0.000000000000000000e+00,-7.806594101258739204e-01,8.817175410122913837e-01,1.218210128221941080e+00,0.000000000000000000e+00,-6.091050641109705399e-01,1.913559994675374520e+00
1.100000000000000089e+00,6.214209454492376494e-01,0.000000000000000000e+00,-8.107104727246188247e-01,9.761257385050756685e-01,1.181983371679736994e+00,0.000000000000000000e+00,-5.909916858398684969e-01,1.856655138567180341e+00
1.150000000000000133e+00,6.791441334908119298e-01,0.000000000000000000e+00,-8.395720667454059649e-01,1.066797110251671121e+00,1.123408363451430247e+00,0.000000000000000000e+00,-5.617041817257151237e-01,1.764645730800192380e+00
1.200000000000000178e+00,7.334323200000227860e-01,0.000000000000000000e+00,-8.667161600000113930e-01,1.152072794208700568e+00,1.045094400000040169e+00,0.000000000000000000e+00,-5.225472000000200845e-01,1.641630444673999545e+00
1.250000000000000000e+00,7.833819836378341783e-01,0.000000000000000000e+00,-8.916909918189170892e-01,1.230533542375615408e+00,9.505078196525920120e-01,0.000000000000000000e+00,-4.752539098262960060e-01,1.493054191700144084e+00
1.300000000000000044e+00,8.282807144726834769e-01,0.000000000000000000e+00,-9.141403572363417940e-01,1.301060303848750266e+00,8.437934654297428727e-01,0.000000000000000000e+00,-4.218967327148714364e-01,1.325427676070577876e+00
1.350000000000000089e+00,8.676358386249483079e-01,0.000000000000000000e+00,-9.338179193124741539e-01,1.362879188307685396e+00,7.295567651848404722e-01,0.000000000000000000e+00,-3.647783825924202361e-01,1.145985086940731534e+00
1.400000000000000133e+00,9.011913400000305385e-01,0.000000000000000000e+00,-9.505956700000153248e-01,1.415588046611431450e+00,6.126151500000353023e-01,0.000000000000000000e+00,-3.063075750000176511e-01,9.622936273589993705e-01
1.450000000000000178e+00,9.289318044213796810e-01,0.000000000000000000e+00,-9.644659022106898405e-01,1.459162666228078775e+00,4.977294697746759145e-01,0.000000000000000000e+00,-2.488647348873379572e-01,7.818316228596586814e-01
1.500000000000000000e+00,9.510726928711308314e-01,0.000000000000000000e+00,-9.755363464355654157e-01,1.493941492476922761e+00,3.893280029297234712e-01,0.000000000000000000e+00,-1.946640014648617356e-01,6.115549969204090441e-01
1.550000000000000044e+00,9.680369288420872520e-01,0.000000000000000000e+00,-9.840184644210436815e-01,1.520588852026993898e+00,2.912375951408135988e-01,0.000000000000000000e+00,-1.456187975704067994e-01,4.574749446719525436e-01
1.600000000000000089e+00,9.804185600000435707e-01,0.000000000000000000e+00,-9.902092800000217299e-01,1.540037872769609351e+00,2.064383999999380159e-01,0.000000000000000000e+00,-1.032191999999690080e-01,3.242726804295089638e-01
1.650000000000000133e+00,9.889351264500370053e-01,0.000000000000000000e+00,-9.944675632250185027e-01,1.553415664066184698e+00,1.368606324943599795e-01,0.000000000000000000e+00,-6.843031624717998973e-02,2.149801788050249851e-01
1.700000000000000178e+00,9.943713368945752418e-01,0.000000000000000000e+00,-9.971856684472876209e-01,1.561954843464152143e+00,8.324368417961441891e-02,0.000000000000000000e+00,-4.162184208980720945e-02,1.307588733384387469e-01
1.750000000000000000e+00,9.975177198648743637e-01,0.000000000000000000e+00,-9.987588599324371819e-01,1.566897170276644768e+00,4.507988691329956055e-02,0.000000000000000000e+00,-2.253994345664978027e-02,7.081132077576633710e-02
1.800000000000000044e+00,9.991090800000548278e-01,0.000000000000000000e+00,-9.995545400000274139e-01,1.569396872931547060e+00,2.066714999988423715e-02,0.000000000000000000e+00,-1.033357499994211857e-02,3.246388330531450872e-02
1.850000000000000089e+00,9.997688490402326655e-01,0.000000000000000000e+00,-9.998844245201163883e-01,1.570433235716422571e+00,7.296633592949444171e-03,0.000000000000000000e+00,-3.648316796474722085e-03,1.146152524609435688e-02
1.900000000000000133e+00,9.999667777929975854e-01,0.000000000000000000e+00,-9.999833888964988482e-01,1.570744141474281319e+00,1.603559179643794042e-03,0.000000000000000000e+00,-8.017795898218970209e-04,2.518864869499861867e-03
1.950000000000000178e+00,9.999988688222455346e-01,0.000000000000000000e+00,-9.999994344111227118e-01,1.570794549945155216e+00,1.111959709072962466e-04,0.000000000000000000e+00,-5.559798545364812329e-05,1.746662231563912314e-04
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000000000266e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000089e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.149999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000266e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000000089e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000355e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
